full_posRef,next_move_Ref,nb_W,nb_L,nb_D
0a12b123c23g78h789i89_0a45b456c56g45h456i56,a1d4,133,140,6
0a12b123c23f6g78h789i8_0a45b456c56g45h456i56,a5d5,87,108,5
0a12b123c23f6g78h789i8_0a4b456c56d5g45h456i56,i8g6,70,51,3
0a12b123c23g78h789i89_0a45b456c56g45h456i56,i9f6,46,21,0
0a12b123c23f6g78h789i8_0a45b456c56g45h456i56,i5f5,43,50,0
0a12b123c23f6g78h789i8_0a45b456c56f5g45h456i6,i8g6,41,28,0
0a12b123c23f67g78h78i8_0d1278e234789f2389,d1d3,41,42,2
0a12b123c23f6g78h789i8_0a4b456c56d5g45h456i56,a1d4,28,24,2
0a12b123c23f67g78h78i8_0d1278e123678f2389,e8e5,25,34,0
0a12b123c23f6g78h789i8_0a4b456c56d5f5g45h456i6,i8g6,19,18,2
0a12b123c23f67g78h78i8_0d1278e234678f2389,e8e5,16,14,2
0a12b123c23f67g78h78i8_0d2378e234789f2389,h7e7,13,3,0
0a12b123c23f67g78h78i8_0d2378e234789f2389,g8e6,13,11,1
0a12b123c23e5f6g78h79i8_0a45b456c56f5g456h456,h6f6,11,12,0
0a123b123c2f67g78h78i8_0c3d2378e234789f289,a1c3,10,3,0
0a12b123c23f6g78h789i8_0a45b456c56g45h456i56,i6g6,10,6,1
0a12b123c23f67g78h78i8_0d1278e234678f2389,h8e5,9,2,1
0a12b123c23e6f67g7h78i8_0d2378e234789f2389,e9e6,9,6,0
0a12b123c23f6g78h789i8_0a45b456c56g45h456i56,g4f5,9,9,0
0a12b123c23f67g78h78i8_0d2378e234789f2389,a1d4,9,12,1
0a12b123c23f6g78h789i8_0a45b456c56g45h456i56,c6d5,8,1,0
0a12b123c23f67g78h78i8_0d1278e1236789f238,e8e5,8,4,1
0a12b123c23f6g78h789i8_0a4b456c56d5f5g45h456i6,h8e5,8,7,0
0a12b123d34f6g678h789_0a4b456c56d5e5f5g45h46i6,a4c4,7,4,0
0a12b123c23f67h789i89_0a45b456c56f5g45h456i6,i6g6,7,5,0
0a12b123c23f67g78h78i8_0d1278e234789f2389,e9e6,7,15,1
0a12b123c23f67g78h78i8_0d1268e123689f2389,d6f6,6,0,0
0a12b123c23f67g78h78i8_0d2378e234789f2389,h8e5,6,1,0
0a12b123c23e6f67g78h8i8_0c7d2378e23478f2389,b3d4,6,2,0
0a12b123c23f67g78h78i8_0d1278e234567f2389,a1d4,6,4,1
0a12b123c23e5f6g78h79i8_0a45b456c56f5g45h456i6,i6g6,6,4,0
0a12b123c23f67g78h78i8_0d1278e234567f2389,b3d4,6,9,1
0a12b123c23e5f6g78h79i8_0a45b456c56f5g456h456,a5d5,6,13,0
0a12b123c23f67h789i89_0a4b456c56d5g45h456i56,i5f5,5,0,0
0a12b123c23e5f6g78h79i8_0a4b456c56d5f5g456h456,h9f7,5,0,0
0a12b123c23f67g78h78i8_0d1278e234678f2389,a1d4,5,2,0
0a12b123c23e7f67g78h8i8_0c7d2378e23468f2389,c7d6,5,2,1
0a2b123c23d4e5f6g78h79i8_0a4b456c56d5f5g456h456,a2c4,5,6,1
0a12b123c23f6g78h789i8_0a4b456c56d5g45h456i56,h8e5,5,6,0
0a12b123c23e5f6g78h79i8_0a4b456c56d5f5g45h456i6,i6g6,5,7,0
